week,day,title,link,status,notes
1,1,Create GitHub repo, initialize project, push first commit,https://github.com/new,pending,
1,1,Enroll in RAG course, watch intro lesson,https://learn.deeplearning.ai/courses/retrieval-augmented-generation/information,pending,
1,2,Finish Week 1 videos (RAG overview & basic pipeline),https://learn.deeplearning.ai/courses/retrieval-augmented-generation/information,pending,
1,2,Write 1–2 paragraphs of RAG notes in docs/notes-week1.md,,pending,
1,3,Finalize repo structure (src, docs, tests, PLAN.md),,pending,
1,3,Capture open questions about RAG & your domain (claims),,pending,
2,4,Implement basic PDF → text extraction (PyPDF / OCR),,pending,
2,4,Save raw text to files/DB, add small sample dataset,,pending,
2,5,Refine extraction for CMS-style docs (headers, fields),,pending,
2,5,Document ingestion flow in docs/ingestion.md,,pending,
2,6,Add simple ingestion tests (happy path + bad file),,pending,
2,6,Commit & push with clear message,,pending,
3,7,Implement fixed-size chunking (by chars/tokens),,pending,
3,7,Stand up vector DB (PGVector/Weaviate/Pinecone),https://www.pinecone.io/learn/retrieval-augmented-generation/,pending,
3,8,Implement section-aware chunking,,pending,
3,8,Index chunks into vector DB,,pending,
3,9,Add CLI or script to rebuild index from raw docs,,pending,
3,9,Update docs/ingestion.md with chunking strategies,,pending,
4,10,Implement dense retriever (top-k search),https://www.databricks.com/blog/what-is-retrieval-augmented-generation,pending,
4,10,Quick manual sanity checks on retrieval,,pending,
4,11,Build minimal FastAPI/Flask endpoint: POST /ask,,pending,
4,11,Wire retrieval + LLM into endpoint,,pending,
4,12,Add basic logging and error handling,,pending,
4,12,Update README with simple usage example,,pending,
5,13,Create small evaluation set of Q/A pairs,,pending,
5,13,Write script to run eval set through RAG pipeline,,pending,
5,14,Log retrieval hit rate & answer quality (manual tags),https://www.deeplearning.ai/short-courses/building-evaluating-advanced-rag/,pending,
5,14,Store results in docs/evaluation.md,,pending,
5,15,Tune top-k / prompts and re-run eval,,pending,
5,15,Commit changes with summary of improvements,,pending,
6,16,Build simple classifier with scikit-learn (claim type),https://learningactors.com/the-ultimate-guide-to-machine-learning-frameworks/,pending,
6,16,Evaluate on small labeled dataset,,pending,
6,17,Wrap classifier as a callable service or function,,pending,
6,17,Add tests for classifier pipeline,,pending,
6,18,Document how classifier could be an agent tool,,pending,
6,18,Commit & push,,pending,
7,19,Start PyTorch NLP tutorial (tokenization, embeddings),https://docs.pytorch.org/tutorials/beginner/nlp/index.html,pending,
7,19,Run first tutorial example end-to-end,,pending,
7,20,Implement simple NLP model (e.g., sentiment),,pending,
7,20,Integrate model as a tool in project,,pending,
7,21,Notes on where to use custom models vs LLMs,,pending,
7,21,Commit & push,,pending,
8,22,Add BM25/keyword retriever,,pending,
8,22,Implement hybrid retrieval (keyword + vector),https://www.databricks.com/blog/what-is-retrieval-augmented-generation,pending,
8,23,Compare dense vs BM25 vs hybrid on eval set,,pending,
8,23,Document results in docs/evaluation.md,,pending,
8,24,Clean up code, add tests for hybrid retriever,,pending,
8,24,Commit & push,,pending,
9,25,DESIGN: Define multi-agent roles and responsibilities (Researcher, Critic, Policy-Checker, Summarizer),,pending,
9,25,Write agents.md with responsibilities and IO contracts,,pending,
9,26,Prototype simple orchestration flow on paper / Mermaid,,pending,
9,26,Identify tools needed for each agent (RAG retriever, classifier, policy engine),,pending,
9,27,Start drafting Python orchestration layer (synchronous),,pending,
9,27,Commit & push initial multi-agent design,,pending,
10,28,Implement Researcher agent (calls vector DB, drafts answer),,pending,
10,28,Wire Researcher agent to existing RAG pipeline,,pending,
10,29,Implement Critic agent (validates reasoning, hallucinations),,pending,
10,29,Add logging for Researcher and Critic decisions,,pending,
10,30,Write unit tests for Researcher and Critic agents,,pending,
10,30,Commit & push agent implementations,,pending,
11,31,Implement Policy-Checker agent (basic rules engine),,pending,
11,31,Define sample policy rules based on claims domain,,pending,
11,32,Integrate Policy-Checker into orchestration flow,,pending,
11,32,Handle policy failure path (return reasons, suggested fix),,pending,
11,33,Add tests for Policy-Checker and failing-path behavior,,pending,
11,33,Commit & push policy-aware flow,,pending,
12,34,Implement Summarizer agent (user-facing answer + explanation),,pending,
12,34,Add formatting options (short/long answers),,pending,
12,35,Wire Summarizer as final step in main orchestration graph,,pending,
12,35,Log full agent trace per request (for debugging),,pending,
12,36,Run end-to-end tests for multi-agent RAG flow,,pending,
12,36,Commit & push multi-agent v1,,pending,
13,37,Design edge-case handling: no docs, low confidence, conflicts,,pending,
13,37,Implement no-docs fallback and escalation path,,pending,
13,38,Implement low-confidence behavior (ask clarifying question),,pending,
13,38,Document edge cases in docs/edge-cases.md,,pending,
13,39,Add tests for no-docs and low-confidence paths,,pending,
13,39,Commit & push edge-case handling,,pending,
14,40,Add basic auth & JWT validation around API,,pending,
14,40,Implement simple RBAC (claims-viewer, claims-admin),,pending,
